employee_id,name,role,shift_date,status
E001,Olena A.,Nail Master,2026-06-01,W
E001,Olena A.,Nail Master,2026-06-02,W
E001,Olena A.,Nail Master,2026-06-03,W
E001,Olena A.,Nail Master,2026-06-04,W
E001,Olena A.,Nail Master,2026-06-05,W
E001,Olena A.,Nail Master,2026-06-06,W
E001,Olena A.,Nail Master,2026-06-07,W
E001,Olena A.,Nail Master,2026-06-08,W
E001,Olena A.,Nail Master,2026-06-09,W
E001,Olena A.,Nail Master,2026-06-10,W
E001,Olena A.,Nail Master,2026-06-11,W
E001,Olena A.,Nail Master,2026-06-12,W
E001,Olena A.,Nail Master,2026-06-13,W
E001,Olena A.,Nail Master,2026-06-14,W
E001,Olena A.,Nail Master,2026-06-15,W
E001,Olena A.,Nail Master,2026-06-16,W
E001,Olena A.,Nail Master,2026-06-17,W
E001,Olena A.,Nail Master,2026-06-18,OFF
E001,Olena A.,Nail Master,2026-06-19,W
E001,Olena A.,Nail Master,2026-06-20,W
E001,Olena A.,Nail Master,2026-06-21,OFF
E001,Olena A.,Nail Master,2026-06-22,W
E001,Olena A.,Nail Master,2026-06-23,W
E001,Olena A.,Nail Master,2026-06-24,W
E001,Olena A.,Nail Master,2026-06-25,W
E001,Olena A.,Nail Master,2026-06-26,W
E001,Olena A.,Nail Master,2026-06-27,W
E001,Olena A.,Nail Master,2026-06-28,W
E001,Olena A.,Nail Master,2026-06-29,W
E001,Olena A.,Nail Master,2026-06-30,W
E002,Maria B.,Nail Master,2026-06-01,W
E002,Maria B.,Nail Master,2026-06-02,W
E002,Maria B.,Nail Master,2026-06-03,W
E002,Maria B.,Nail Master,2026-06-04,W
E002,Maria B.,Nail Master,2026-06-05,W
E002,Maria B.,Nail Master,2026-06-06,W
E002,Maria B.,Nail Master,2026-06-07,W
E002,Maria B.,Nail Master,2026-06-08,W
E002,Maria B.,Nail Master,2026-06-09,W
E002,Maria B.,Nail Master,2026-06-10,W
E002,Maria B.,Nail Master,2026-06-11,W
E002,Maria B.,Nail Master,2026-06-12,W
